pedido,modelo,entrega,produzido,quantidade,peca_hora
140677.0,422MBB9845GMREC,20220224.0,300.0,300,160
140677.0,422MRCX45GMREC,20220224.0,600.0,600,160
140790.0,422BB9845BRN,20220225.0,50.0,50,160
140790.0,422MBB9845BMBRN,20220225.0,,300,160
140790.0,424MRC66BMBRN,20220225.0,,200,160
,06,,,1,1
140700.0,624MRC66BMNE,20220216.0,,60,160
140677.0,628MRDE75GMREC,20220224.0,,400,120
140790.0,626MRC66BMBRN,20220225.0,,250,120
140790.0,626MRDE6BMBRN,20220225.0,202.0,200,120
140790.0,628MRC66BMBRN,20220225.0,,500,120
140790.0,628MRC675GMBRN,20220225.0,,150,120
140676.0,628MRC675GMREC,20220225.0,,200,120
140790.0,628MRDE6BMBRN,20220225.0,,200,120
140790.0,628R306AXBRN,20220225.0,,50,120
,06,,,1,1
140768.0,9517R8045G3NE,20220223.0,,100,200
140768.0,9520R805G3NE,20220223.0,,50,180
,06,,,1,1
140676.0,9920R755G3REC,20220225.0,,500,180
140676.0,9920R805G3REC,20220225.0,,150,180
,06,,,1,1
140768.0,2817R8045G3NE,20220223.0,,100,200
140768.0,2818R805G3NE,20220223.0,,100,190
140631.0,2820R8045G3NE,20220223.0,,100,180
140641.0,2820R755G3NLB,20220225.0,,100,180
140641.0,2820R805G3NE,20220225.0,,150,180
,06,,,1,1
140678.0,8116R6245NJREC,20220215.0,,170,300
140678.0,8116R625NJREC,20220215.0,,600,300
140678.0,8116R754GSREC,20220215.0,,130,300
140759.0,8116R754GSSR,20220215.0,,"1,200",300
140678.0,8316R625NJREC,20220215.0,,760,300
140678.0,8418R755G3REC,20220215.0,,60,300
141611.0,51636680,20220216.0,,"2,100",300
140460.0,51636681,20220216.0,,"1,330",300
140452.0,51636680,20220217.0,,"2,100",300
140457.0,51636681,20220217.0,,490,300
141608.0,8116R754GSJM,20220217.0,,200,300
140837.0,8113R413J7JM,20220218.0,,"1,060",300
141505.0,8114R7754TLJM,20220218.0,,451,300
140753.0,8115R684FCNE,20220218.0,,150,300
140679.0,8115R684FCREC,20220218.0,,100,300
140782.0,8115R754GSJM,20220218.0,,102,300
140679.0,8115R754GSREC,20220218.0,,625,300
140523.0,8116R405X2HA,20220218.0,,"1,000",300
140679.0,8116R625NJREC,20220218.0,,"1,800",300
140753.0,8116R754GSJM,20220218.0,,300,300
140783.0,8116R754GSJM,20220218.0,,300,300
140679.0,8116R754GSREC,20220218.0,,500,300
140929.0,8116R754GSSR,20220218.0,,"1,290",300
140781.0,8117R754GSJM,20220218.0,,44,300
140679.0,8316R625NJREC,20220218.0,,"1,200",300
140781.0,8317R805G3JM,20220218.0,,110,300
140783.0,8317R805G3JM,20220218.0,,100,300
140659.0,8318R805G3REC,20220218.0,,10,300
140679.0,8318R805G3REC,20220218.0,,70,300
140596.0,8114R803GSNE,20220219.0,,50,300
140596.0,8115R804GSNE,20220219.0,,50,300
140496.0,8117R754GSJM,20220219.0,,500,300
140596.0,8315R75453CNE,20220219.0,,50,300
140596.0,8315R804GSNE,20220219.0,,50,300
,06,,,1,1
140678.0,8322R755G3REC,20220215.0,,50,270
140678.0,8420R755G3REC,20220215.0,,300,270
140753.0,8320R1235G1NE,20220218.0,,100,270
140679.0,8320R805G3REC,20220218.0,,500,270
140837.0,8320R8065G3JM,20220218.0,,247,270
140523.0,8320R806G3HA,20220218.0,,300,270
140679.0,8322R805G3REC,20220218.0,,300,270
140659.0,2520R755G3REC,20220218.0,,300,180
140659.0,2522R755G3REC,20220218.0,,210,170
140836.0,RD14MR713YKJM,20220218.0,,548,200
140837.0,RD14MR713YKJM,20220218.0,,810,200
141017.0,RD14MR713YKJM,20220218.0,,600,200
140699.0,9920R755G3NE,20220221.0,,10,180
140699.0,RD14MR1123YHNE,20220221.0,,70,200
140930.0,81155R754GSSR,20220221.0,,930,300
141257.0,81155R754GSSR,20220221.0,,600,300
140699.0,8115R534LCNE,20220221.0,,30,300
140699.0,8116R624NJNLB,20220221.0,,120,300
140699.0,8116R754GSNE,20220221.0,,30,300
140699.0,8316R624NJNLB,20220221.0,,50,300
140923.0,CQ54001,20220221.0,,800,300
140924.0,CQ54005,20220221.0,,300,300
140925.0,KK49608,20220221.0,,500,300
140658.0,2520R755G3REC,20220222.0,,300,180
140658.0,2522R755G3REC,20220222.0,,210,170
140658.0,9118R755G3REC,20220222.0,,100,190
140658.0,9120R755G3REC,20220222.0,,170,180
140658.0,8116R6245NJREC,20220222.0,,230,300
140658.0,8116R625NJREC,20220222.0,,"1,800",300
140674.0,8116R625NJREC,20220222.0,,9,300
140658.0,8316R625NJREC,20220222.0,,280,300
140674.0,8316R625NJREC,20220222.0,,2,300
140658.0,8318R805G3REC,20220222.0,,10,300
140658.0,8420R755G3REC,20220222.0,,200,270
140703.0,2522R755G3NE,20220223.0,,300,170
140703.0,2522R805G3NE,20220223.0,,300,170
141494.0,90471650,20220223.0,,122,180
141612.0,51636680,20220223.0,,420,300
140768.0,8114R403DTNE,20220223.0,,100,300
140703.0,81155R754GSNE,20220223.0,,50,300
140768.0,81155R754GSNE,20220223.0,,200,300
140956.0,8115R684FCNE,20220223.0,,200,300
140768.0,8115R75453CNE,20220223.0,,50,300
140768.0,8115R754GSJM,20220223.0,,300,300
140956.0,8115R754GSJM,20220223.0,,200,300
140956.0,8115R804GSNE,20220223.0,,100,300
140631.0,8116R624NJNLB,20220223.0,,150,300
140631.0,8116R754GSJM,20220223.0,,50,300
140956.0,8116R754GSJM,20220223.0,,350,300
140768.0,8116R754GSNE,20220223.0,,100,300
140956.0,8116R804GSNE,20220223.0,,100,300
140768.0,8315R75453CNE,20220223.0,,50,300
140703.0,8316R6245NJNLB,20220223.0,,400,300
140631.0,8316R624NJNLB,20220223.0,,150,300
140703.0,8317R7545GSNE,20220223.0,,200,300
140768.0,8317R8045G3NE,20220223.0,,100,300
140956.0,8317R8045G3NE,20220223.0,,50,300
140956.0,8318R12345G1NE,20220223.0,,200,300
140631.0,8318R8045G3NE,20220223.0,,50,300
140956.0,8318R8045G3NE,20220223.0,,100,300
140768.0,8318R805G3NE,20220223.0,,100,300
140629.0,8318R805G3SR,20220223.0,,100,300
141489.0,CQ54001,20220223.0,,320,300
140956.0,8320R12345G1NE,20220223.0,,100,270
140631.0,8320R755G3NE,20220223.0,,150,270
140703.0,8320R755G3NE,20220223.0,,100,270
140631.0,8320R805G3NE,20220223.0,,100,270
140768.0,8320R805G3NE,20220223.0,,50,270
140956.0,8320R805G3NE,20220223.0,,300,270
140956.0,8322R805G3NE,20220223.0,,50,270
140677.0,2518R755G3REC,20220224.0,,80,190
140677.0,2520R755G3REC,20220224.0,,900,180
140677.0,2522R755G3REC,20220224.0,,200,170
140677.0,2522R805G3REC,20220224.0,,150,170
140790.0,418MBB9835BMBRN,20220225.0,,150,160
141020.0,RD14MR713YKJM,20220225.0,,600,200
141640.0,8114R7754TLJM,20220225.0,,451,300
140676.0,8116R6245NJREC,20220225.0,,"2,522",300
140636.0,8116R625NJNLB,20220225.0,,"1,000",300
140784.0,8116R754GSJM,20220225.0,,300,300
141235.0,8215R754GSFV,20220225.0,,800,300
140676.0,8316R6245NJREC,20220225.0,,"1,500",300
140636.0,8316R625NJNLB,20220225.0,,"1,000",300
140784.0,8317R805G3JM,20220225.0,,60,300
141705.0,8317R805G3JM,20220225.0,,191,300
140784.0,8318R805G3JM,20220225.0,,35,300
140641.0,8320R805G3NE,20220225.0,,60,270
141666.0,2818RG652Y,20220228.0,,100,190
141666.0,9015R1014I9,20220228.0,,800,200
141666.0,9016R1014I9,20220228.0,,"1,600",200
141666.0,8114R353X8,20220228.0,,600,300
141666.0,8114R703NR,20220228.0,,"2,500",300
141666.0,8115R324LA,20220228.0,,500,300
141666.0,8116R754GS,20220228.0,,250,300
140931.0,8116R754GSSR,20220228.0,,"1,290",300
141666.0,8315R754GS,20220228.0,,400,300
141490.0,CQ54001,20220228.0,,320,300
141493.0,90471650,20220209.0,,244,180
140745.0,8420R805G3NE,20220212.0,,20,270
140746.0,8420R805G3NE,20220217.0,,20,270
140753.0,2820R1235G1NE,20220218.0,,100,180
140658.0,9520R755G3REC,20220222.0,,100,180
140768.0,2820R805G3NE,20220223.0,,150,180
140768.0,9518R805G3NE,20220223.0,,100,190
